,ETF,Date,returns
0.0,EWY,42681.0,1.0
1.0,EWY,42682.0,1.010939745578212
2.0,EWY,42683.0,0.9635940090423522
3.0,EWY,42684.0,0.9524749439027428
4.0,EWY,42685.0,0.9478120545143082
5.0,EWY,42688.0,0.9384864753847239
6.0,EWY,42689.0,0.9488881170807181
7.0,EWY,42690.0,0.939921104474916
8.0,EWY,42691.0,0.9395624653521212
9.0,EWY,42692.0,0.9316715153127288
10.0,EWY,42695.0,0.9354376072468915
11.0,EWY,42696.0,0.9582138232585748
12.0,EWY,42697.0,0.9469153841083083
13.0,EWY,42699.0,0.9510401696145253
14.0,EWY,42702.0,0.9510401696145253
15.0,EWY,42703.0,0.9576757919753697
16.0,EWY,42704.0,0.955165027719755
17.0,EWY,42705.0,0.9587518000925201
18.0,EWY,42706.0,0.9557030590029598
19.0,EWY,42709.0,0.9601865743807375
20.0,EWY,42710.0,0.9646700716087622
21.0,EWY,42711.0,0.985473500198776
22.0,EWY,42712.0,0.9937231438102228
23.0,EWY,42713.0,0.9863701706047759
24.0,EWY,42716.0,0.9874462331711858
25.0,EWY,42717.0,0.9956958767826324
26.0,EWY,42718.0,0.9695122805585943
27.0,EWY,42719.0,0.9718435982045392
28.0,EWY,42720.0,0.9725610216481542
29.0,EWY,42723.0,0.9730989803323467
30.0,EWY,42724.0,0.9730989803323467
31.0,EWY,42725.0,0.9682892957402093
32.0,EWY,42726.0,0.9577624751965473
33.0,EWY,42727.0,0.9635703962134679
34.0,EWY,42731.0,0.9633889349811954
35.0,EWY,42732.0,0.9617554571951865
36.0,EWY,42733.0,0.9717378032932654
37.0,EWY,42734.0,0.9659298822763449
38.0,EWY,42738.0,0.9806311460509185
39.0,EWY,42739.0,0.9873466091759925
40.0,EWY,42740.0,0.9971474214427862
41.0,EWY,42741.0,0.9862575876858135
42.0,EWY,42744.0,0.9844426486675323
43.0,EWY,42745.0,0.9886170737486907
44.0,EWY,42746.0,1.016204716728816
45.0,EWY,42747.0,1.029454018398913
46.0,EWY,42748.0,1.02890948950407
47.0,EWY,42752.0,1.035987947692702
48.0,EWY,42753.0,1.02110507748783
49.0,EWY,42754.0,1.019290138469549
50.0,EWY,42755.0,1.019290138469549
51.0,EWY,42758.0,1.033809922862097
52.0,EWY,42759.0,1.033446927798539
53.0,EWY,42760.0,1.044699811068329
54.0,EWY,42761.0,1.040888308451716
55.0,EWY,42762.0,1.038165899924294
56.0,EWY,42765.0,1.036713883370557
57.0,EWY,42766.0,1.05050773208525
58.0,EWY,42767.0,1.05087074529856
59.0,EWY,42768.0,1.060671557565354
