,ETF,Date,returns
0,EWY,2017-10-09 00:00:00,1
1,EWY,2017-10-10 00:00:00,1.012681676
2,EWY,2017-10-11 00:00:00,1.022798504
3,EWY,2017-10-12 00:00:00,1.028925606
4,EWY,2017-10-13 00:00:00,1.037902479
5,EWY,2017-10-16 00:00:00,1.031062995
6,EWY,2017-10-17 00:00:00,1.030920462
7,EWY,2017-10-18 00:00:00,1.03334279
8,EWY,2017-10-19 00:00:00,1.026360772
9,EWY,2017-10-20 00:00:00,1.034197806
10,EWY,2017-10-23 00:00:00,1.031062995
11,EWY,2017-10-24 00:00:00,1.036192662
12,EWY,2017-10-25 00:00:00,1.035765204
13,EWY,2017-10-26 00:00:00,1.030920462
14,EWY,2017-10-27 00:00:00,1.047591864
15,EWY,2017-10-30 00:00:00,1.042034725
16,EWY,2017-10-31 00:00:00,1.065260787
17,EWY,2017-11-01 00:00:00,1.086206939
18,EWY,2017-11-02 00:00:00,1.081077273
19,EWY,2017-11-03 00:00:00,1.079937318
20,EWY,2017-11-06 00:00:00,1.08015104
21,FBGX,2017-10-09 00:00:00,1
22,FBGX,2017-10-10 00:00:00,1.002581817
23,FBGX,2017-10-11 00:00:00,1.010417166
24,FBGX,2017-10-12 00:00:00,1.014554144
25,FBGX,2017-10-13 00:00:00,1.015386482
26,FBGX,2017-10-16 00:00:00,1.017544679
27,FBGX,2017-10-17 00:00:00,1.019687967
28,FBGX,2017-10-18 00:00:00,1.024273513
29,FBGX,2017-10-19 00:00:00,1.020958989
30,FBGX,2017-10-20 00:00:00,1.029756272
31,FBGX,2017-10-23 00:00:00,1.020934042
32,FBGX,2017-10-24 00:00:00,1.022379454
33,FBGX,2017-10-25 00:00:00,1.016049449
34,FBGX,2017-10-26 00:00:00,1.01864123
35,FBGX,2017-10-27 00:00:00,1.051039175
36,FBGX,2017-10-30 00:00:00,1.047450475
37,FBGX,2017-10-31 00:00:00,1.053631031
38,FBGX,2017-11-01 00:00:00,1.048886003
39,FBGX,2017-11-02 00:00:00,1.048247983
40,FBGX,2017-11-03 00:00:00,1.060658913
41,FBGX,2017-11-06 00:00:00,1.064496843
42,FBT,2017-10-09 00:00:00,1
43,FBT,2017-10-10 00:00:00,1
44,FBT,2017-10-11 00:00:00,1.001905351
45,FBT,2017-10-12 00:00:00,1
46,FBT,2017-10-13 00:00:00,0.998253406
47,FBT,2017-10-16 00:00:00,1.001111456
48,FBT,2017-10-17 00:00:00,1.006510003
49,FBT,2017-10-18 00:00:00,1.001429025
50,FBT,2017-10-19 00:00:00,0.995792323
51,FBT,2017-10-20 00:00:00,0.994125135
52,FBT,2017-10-23 00:00:00,0.984360106
53,FBT,2017-10-24 00:00:00,0.975230208
54,FBT,2017-10-25 00:00:00,0.964671348
55,FBT,2017-10-26 00:00:00,0.956097181
56,FBT,2017-10-27 00:00:00,0.963798055
57,FBT,2017-10-30 00:00:00,0.964433185
58,FBT,2017-10-31 00:00:00,0.961178159
59,FBT,2017-11-01 00:00:00,0.956335344
60,FBT,2017-11-02 00:00:00,0.969911075
61,FBT,2017-11-03 00:00:00,0.984280756
62,FBT,2017-11-06 00:00:00,0.976341727
63,FLGE,2017-10-09 00:00:00,1
64,FLGE,2017-10-10 00:00:00,0.998767825
65,FLGE,2017-10-11 00:00:00,1.00812014
66,FLGE,2017-10-12 00:00:00,1.00930776
67,FLGE,2017-10-13 00:00:00,1.012375691
68,FLGE,2017-10-16 00:00:00,1.016581788
69,FLGE,2017-10-17 00:00:00,1.017497216
70,FLGE,2017-10-18 00:00:00,1.021183686
71,FLGE,2017-10-19 00:00:00,1.016284904
72,FLGE,2017-10-20 00:00:00,1.027072195
73,FLGE,2017-10-23 00:00:00,1.016185918
74,FLGE,2017-10-24 00:00:00,1.020837343
75,FLGE,2017-10-25 00:00:00,1.013018996
76,FLGE,2017-10-26 00:00:00,1.015334822
77,FLGE,2017-10-27 00:00:00,1.046766463
78,FLGE,2017-10-30 00:00:00,1.043451102
